"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"TP10,TP8,TP9,TP7,TP6,TP4,TP3,TP5,TP2,TP1";"TestPoint_Pad_1.0x1.0mm";10;"TP";;;
2;"C21,C20,C19,C18,C17,C16,C12,C10,C8,C7,C6,C5,C4,C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"100nF";;;
3;"U1";"ESP32-WROOM-32E-with-keep-area";1;"ESP32-WROOM-32E";;;
4;"J10";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
5;"J9";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Conn_01x02";;;
6;"D8";"D_SMA_Handsoldering";1;"1N5824";;;
7;"J1";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
8;"J3,J2";"RJ14_Connfly_DS1133-S4_Horizontal";2;"RJ14";;;
9;"U6,U5";"SOIC-8_3.9x4.9mm_P1.27mm";2;"MCP6002-xSN";;;
10;"U4";"TO-263-5_TabPin3";1;"LM2596S-5";;;
11;"R39,R38,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
12;"R37,R36,R27,R26,R25,R24,R23,R22,R21,R20,R15,R14,R13,R11,R10,R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";17;"10k";;;
13;"R35,R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2.5k";;;
14;"R34,R32";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2k";;;
15;"R31,R30,R29,R28";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"2.2k";;;
16;"R19,R18,R17,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"27k";;;
17;"R7,R6,R5,R4,R3,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"270";;;
18;"L1";"L_12x12mm_H8mm";1;"33uH";;;
19;"D13";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D";;;
20;"D12";"D_2816_7142Metric_Pad3.20x4.45mm_HandSolder";1;"SS34";;;
21;"D7,D6,D5,D4,D3,D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"LED";;;
22;"C15,C14";"CP_Elec_8x11.9";2;"680uF";;;
23;"C13,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
24;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
25;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
26;"Q2,Q1";"SOT-23_Handsoldering";2;"S8050";;;
27;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
28;"J8";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Conn_01x03";;;
29;"J7";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
30;"J6,J5";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
31;"J4";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
32;"SW5,SW4,SW3,SW2,SW1";"SW_PUSH_6mm";5;"SW_Push";;;
33;"FB1";"L_Axial_L5.0mm_D3.6mm_P10.00mm_Horizontal_Murata_BL01RN1A2A2";1;"Ferrite_Bead";;;
34;"U2";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
35;"H4,H3,H2,H1";"MountingHole_4.3mm_M4_Pad";4;"MountingHole_4.3mm_M4_Pad";;;
